ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
1692488,B76-00642,Eudyptula minor,,,little penguin,lpns,HB3-03,POINT (587728 5269689),148.07145,-42.72029,587728,5269689,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"very large, other may have already fledged",
1692489,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587729 5269738),148.07146,-42.71985,587729,5269738,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692490,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587729 5269699),148.07147,-42.7202,587729,5269699,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692491,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587729 5269688),148.07147,-42.7203,587729,5269688,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692492,B76-00642,Eudyptula minor,,,little penguin,lpns,HBBP1-15,POINT (587730 5269746),148.07147,-42.71978,587730,5269746,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"egg fragments present, chicks presumed though not felt",
1692493,B76-00642,Eudyptula minor,,,little penguin,lpns,HBBP1-14,POINT (587731 5269737),148.07148,-42.71986,587731,5269737,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692494,B76-00642,Eudyptula minor,,,little penguin,lpns,HBBP1-12,POINT (587733 5269735),148.07151,-42.71988,587733,5269735,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692495,B76-00642,Eudyptula minor,,,little penguin,lpns,FCN11-05,POINT (588241 5286278),148.07514,-42.57087,588241,5286278,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"At base of escarpment, directly below FCN11-04, chicks very large, almost fledged",
1692496,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (588242 5286273),148.07516,-42.57091,588242,5286273,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692497,B76-00642,Eudyptula minor,,,little penguin,lpns,FCN11-02,POINT (588245 5286264),148.07519,-42.57099,588245,5286264,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,5m from top of escarpment,
1692498,B76-00642,Eudyptula minor,,,little penguin,lpns,FCN11-03,POINT (588248 5286275),148.07523,-42.57089,588248,5286275,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Fresh Guano, inside large boulders",
1692501,B76-00642,Eudyptula minor,,,little penguin,lpns,FCN11-01,POINT (588300 5286238),148.07587,-42.57122,588300,5286238,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,Base of escarpment amongst tetregonia,
1692506,B76-00642,Eudyptula minor,,,little penguin,lpns,,POINT (588162 5270231),148.07667,-42.71536,588162,5270231,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692508,B76-00642,Eudyptula minor,,,little penguin,lpns,FC11-43,POINT (588415 5286108),148.07729,-42.57238,588415,5286108,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Bird appears to be sitting tight on eggs, inaccessible, directly under bridge in drain refuse.",
1692509,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (588449 5286133),148.0777,-42.57215,588449,5286133,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692510,B76-00642,Eudyptula minor,,,little penguin,lpns,FC11-32,POINT (588458 5286135),148.07781,-42.57213,588458,5286135,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Lots of fresh guano and down in nest indicates recent fledging event, lots of green guano10m along base of escarpment from FC11-31At base of significant erosion channel",
1692511,B76-00642,Eudyptula minor,,,little penguin,lpns,FC11-31,POINT (588472 5286132),148.07798,-42.57215,588472,5286132,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Base of escarpment under tetregonia, above rock platform, old fence pale in burrow entrance.",
1692512,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (588496 5286066),148.07828,-42.57274,588496,5286066,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692532,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587314 5285682),148.06394,-42.57634,587314,5285682,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692533,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-15,POINT (587319 5285681),148.064,-42.57635,587319,5285681,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"Lots of fresh guano, definite breedign",
1692534,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_86,POINT (587123 5269576),148.06408,-42.72138,587123,5269576,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692535,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-17,POINT (587327 5285695),148.0641,-42.57622,587327,5285695,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,"5m above base of escarpment, in boulders amongst tetregonia",
1692536,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-01,POINT (587330 5285525),148.06416,-42.57775,587330,5285525,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,Directly 6m seawrd of cement silo sign (nest left unmarked),
1692537,B76-00642,Eudyptula minor,,,little penguin,lpns,HBLE_87,POINT (587139 5270007),148.06421,-42.7175,587139,5270007,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
1692538,B76-00642,Eudyptula minor,,,little penguin,lpns,D11-20,POINT (587341 5285713),148.06427,-42.57605,587341,5285713,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted,Under boulder at bottom of tetregonia,
1692539,B76-00642,Eudyptula minor,,,little penguin,lpns,0,POINT (587343 5285694),148.06429,-42.57623,587343,5285694,10,Maria Island,Staff DPIPWE (22436),30-Jun-2001,Decade,Nest,,Present,,Accepted, ,
